Wall time,Step,Value
1671623927.3930228,5631,5631.0
1671623933.277141,13880,6940.0
1671623936.3974717,18311,6103.66650390625
1671623940.7406552,24614,6153.5
1671623944.311098,29830,5966.0
1671623949.770265,37830,6305.0
1671623955.1040995,45515,6502.14306640625
1671624059.1395545,58297,7287.125
1671624313.1973464,77297,8588.5556640625
1671624676.2621825,104297,10429.7001953125
1671624908.7022803,121261,11023.7275390625
1671625095.4225824,135127,11260.5830078125
1671625216.13621,144080,11083.0771484375
1671625450.9303715,161499,11535.642578125
1671625631.3130655,174922,11661.466796875
1671625818.3721793,188732,11795.75
1671625995.890687,201927,11878.05859375
1671626225.4571276,219020,12167.77734375
1671626374.3790548,230116,12111.3681640625
1671626615.286459,247825,12391.25
