Wall time,Step,Value
1671626707.6302574,8192,6703.0
1671626725.7775407,10240,6703.0
1671626743.7987487,12288,6703.0
1671626761.7715998,14336,6559.5
1671626780.859497,16384,6559.5
1671626798.797558,18432,6559.5
1671626816.701668,20480,6559.5
1671626834.5088103,22528,7402.0
1671626852.4319286,24576,7402.0
1671626870.7874286,26624,7402.0
1671626888.7323594,28672,7402.0
1671626906.4642267,30720,7402.0
1671626924.728584,32768,7773.25
1671626942.581972,34816,7773.25
1671626960.508998,36864,7773.25
1671626978.2715504,38912,7773.25
1671626996.414241,40960,7773.25
1671627014.15362,43008,8393.7998046875
1671627031.9192724,45056,8393.7998046875
1671627049.9238973,47104,8393.7998046875
1671627067.918384,49152,8393.7998046875
1671627085.737497,51200,8393.7998046875
1671627103.7957907,53248,8614.0
1671627122.0735564,55296,8614.0
1671627139.8353722,57344,8172.4287109375
1671627157.5798967,59392,8172.4287109375
1671627175.4573545,61440,8172.4287109375
1671627193.49965,63488,7870.0
1671627211.3549933,65536,7870.0
1671627229.2025092,67584,7870.0
1671627247.129251,69632,7535.77783203125
1671627265.0968742,71680,7535.77783203125
1671627282.9669392,73728,7535.77783203125
1671627301.007097,75776,7541.60009765625
1671627319.128925,77824,7541.60009765625
1671627336.9415452,79872,7541.60009765625
1671627354.8040805,81920,7384.181640625
1671627372.624613,83968,7384.181640625
1671627390.6059036,86016,7384.181640625
1671627408.8370562,88064,7233.58349609375
1671627426.5659223,90112,7233.58349609375
1671627444.238037,92160,7233.58349609375
1671627462.1667817,94208,7233.58349609375
1671627479.8811119,96256,7312.46142578125
1671627497.785069,98304,7312.46142578125
1671627516.0517042,100352,7312.46142578125
1671627533.7725086,102400,7276.9287109375
1671627551.4494064,104448,7276.9287109375
1671627569.326433,106496,7276.9287109375
1671627587.3721583,108544,7276.9287109375
1671627605.1668322,110592,7260.2666015625
1671627622.9603083,112640,7260.2666015625
1671627640.6572106,114688,7260.2666015625
1671627658.6180344,116736,7260.2666015625
1671627676.4271593,118784,7409.875
1671627694.0015106,120832,7409.875
1671627712.11072,122880,7409.875
1671627729.772234,124928,7409.875
1671627747.6493008,126976,7409.875
1671627765.4443758,129024,7409.875
1671627783.36791,131072,7409.875
1671627801.070756,133120,7773.470703125
1671627818.8512216,135168,7773.470703125
1671627836.4835165,137216,7773.470703125
1671627854.3927193,139264,7773.470703125
1671627872.3456483,141312,7773.470703125
1671627890.008858,143360,7773.470703125
1671627907.8868837,145408,7773.470703125
1671627925.5705318,147456,7773.470703125
1671627943.2866967,149504,7773.470703125
1671627961.0201287,151552,7773.470703125
1671627978.8923736,153600,7773.470703125
1671627996.7495337,155648,7773.470703125
1671628014.4610379,157696,7773.470703125
1671628032.4198837,159744,8841.611328125
1671628050.2598968,161792,8841.611328125
1671628067.9803476,163840,8841.611328125
1671628085.7870731,165888,8841.611328125
1671628103.645248,167936,8841.611328125
1671628121.5810964,169984,8841.611328125
1671628139.3049884,172032,8841.611328125
1671628157.248091,174080,8841.611328125
1671628175.2982676,176128,8841.611328125
1671628193.2140045,178176,8841.611328125
1671628210.8965633,180224,8841.611328125
1671628228.5630345,182272,8841.611328125
1671628246.5536208,184320,8841.611328125
1671628264.3533669,186368,9797.3154296875
1671628281.9959996,188416,9797.3154296875
1671628299.6945689,190464,9797.3154296875
1671628317.677712,192512,9797.3154296875
1671628335.4384344,194560,9797.3154296875
1671628353.2818677,196608,9797.3154296875
1671628371.329872,198656,9797.3154296875
1671628389.1413178,200704,9797.3154296875
1671628406.913277,202752,9797.3154296875
1671628424.6351342,204800,9797.3154296875
1671628442.633873,206848,9797.3154296875
1671628460.2882102,208896,9797.3154296875
1671628478.0139143,210944,9797.3154296875
1671628495.7373655,212992,9797.3154296875
1671628513.753217,215040,10657.4501953125
1671628531.5750191,217088,10657.4501953125
1671628549.2301412,219136,10657.4501953125
1671628567.0846174,221184,10657.4501953125
1671628585.0780504,223232,10657.4501953125
1671628602.8503406,225280,10657.4501953125
1671628620.5389364,227328,10657.4501953125
1671628638.6816506,229376,10657.4501953125
1671628656.5582016,231424,10657.4501953125
1671628674.1953082,233472,10657.4501953125
1671628692.036316,235520,10657.4501953125
1671628709.9203355,237568,10657.4501953125
1671628727.73713,239616,10657.4501953125
1671628745.4318604,241664,11435.6669921875
1671628763.313675,243712,11435.6669921875
1671628781.0870452,245760,11435.6669921875
1671628798.79039,247808,11435.6669921875
1671628816.6542022,249856,11435.6669921875
1671628834.5781925,251904,11435.6669921875
