rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/n_updates,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_loss,train/explained_variance
24.45,24.45,100,233,2,9.534165382385254,99,500,0.0007,-0.6930443644523621,1.9194406270980835,0.007136344909667969
26.105263157894736,26.105263157894736,200,254,3,80.1200942993164,199,1000,0.0007,-0.6868839263916016,-2.403515338897705,-0.011933445930480957
27.666666666666668,27.666666666666668,300,265,5,241.042236328125,299,1500,0.0007,-0.6450944542884827,-9.546046257019043,0.056501150131225586
30.123076923076923,30.123076923076923,400,271,7,5.646559238433838,399,2000,0.0007,-0.6451701521873474,1.244143009185791,0.05200845003128052
33.52054794520548,33.52054794520548,500,273,9,5.49436616897583,499,2500,0.0007,-0.5459774732589722,1.158003807067871,-0.012877583503723145
35.69879518072289,35.69879518072289,600,276,10,4.847228050231934,599,3000,0.0007,-0.6295202970504761,0.8578295111656189,-0.0010982751846313477
37.75555555555555,37.75555555555555,700,277,12,4.336997032165527,699,3500,0.0007,-0.6012736558914185,0.9320200085639954,-0.0028229951858520508
40.67368421052632,40.67368421052632,800,278,14,3.727196455001831,799,4000,0.0007,-0.4514031410217285,1.2116519212722778,0.0051528215408325195
44.96,44.96,900,277,16,3.2651543617248535,899,4500,0.0007,-0.2720911502838135,2.0023248195648193,0.005820095539093018
48.35,48.35,1000,276,18,2.803255558013916,999,5000,0.0007,-0.6259180307388306,0.6495077013969421,0.004241645336151123
50.6,50.6,1100,275,19,2.3710243701934814,1099,5500,0.0007,-0.6636802554130554,0.7342713475227356,3.5643577575683594e-05
55.61,55.61,1200,276,21,1.9729938507080078,1199,6000,0.0007,-0.5317704677581787,0.7797018885612488,0.000779569149017334
59.19,59.19,1300,277,23,1.6156738996505737,1299,6500,0.0007,-0.3475908935070038,0.7043824195861816,-0.0010514259338378906
63.39,63.39,1400,277,25,1.2908047437667847,1399,7000,0.0007,-0.5588645935058594,0.3403295874595642,-7.271766662597656e-05
66.88,66.88,1500,277,27,0.9983633160591125,1499,7500,0.0007,-0.46433717012405396,0.17399440705776215,-0.0005967617034912109
70.3,70.3,1600,278,28,0.7439929246902466,1599,8000,0.0007,-0.4636034667491913,0.42406073212623596,-3.933906555175781e-05
74.43,74.43,1700,278,30,0.522454559803009,1699,8500,0.0007,-0.5936616063117981,0.25748440623283386,0.0005227327346801758
79.03,79.03,1800,276,32,0.3470740020275116,1799,9000,0.0007,-0.4934445321559906,0.3179035782814026,-4.303455352783203e-05
82.91,82.91,1900,276,34,0.20207147300243378,1899,9500,0.0007,-0.4427826404571533,0.2093605250120163,-0.00013577938079833984
86.76,86.76,2000,276,36,0.09392549842596054,1999,10000,0.0007,-0.5377044677734375,0.08446099609136581,-8.344650268554688e-07
